timestamp,best_bid,best_ask,mid,mark_price,spread,inventory,cash,mtm_equity
2026-06-07 04:55:00+00:00,0.13,0.26,0.195,0.195,0.13,0.0,0.0,0.0
2026-06-07 05:00:00+00:00,0.13,0.25,0.19,0.19,0.12,0.0,0.0,0.0
2026-06-07 05:05:00+00:00,0.13,0.24,0.185,0.185,0.10999999999999999,0.0,0.0,0.0
2026-06-07 05:10:00+00:00,0.15,0.25,0.2,0.2,0.1,0.0,0.0,0.0
2026-06-07 05:15:00+00:00,0.12,0.17,0.14500000000000002,0.14500000000000002,0.05000000000000002,0.0,0.0,0.0
2026-06-07 05:20:00+00:00,0.12,0.17,0.14500000000000002,0.14500000000000002,0.05000000000000002,-10.0,1.2,-0.2500000000000002
2026-06-07 05:25:00+00:00,0.14,0.17,0.15500000000000003,0.15500000000000003,0.03,-10.0,1.2,-0.3500000000000003
2026-06-07 05:30:00+00:00,0.15,0.17,0.16,0.16,0.020000000000000018,-10.0,1.2,-0.40000000000000013
2026-06-07 05:35:00+00:00,0.16,0.17,0.165,0.165,0.010000000000000009,-10.0,1.2,-0.4500000000000002
2026-06-07 05:40:00+00:00,0.16,0.17,0.165,0.165,0.010000000000000009,-10.0,1.2,-0.4500000000000002
2026-06-07 05:45:00+00:00,0.15,0.17,0.16,0.16,0.020000000000000018,-10.0,1.2,-0.40000000000000013
2026-06-07 05:50:00+00:00,0.2,0.26,0.23,0.23,0.06,0.0,-1.1000000000000003,-1.1000000000000003
2026-06-07 05:55:00+00:00,0.2,0.28,0.24000000000000002,0.24000000000000002,0.08000000000000002,0.0,-1.1000000000000003,-1.1000000000000003
2026-06-07 06:00:00+00:00,0.21,0.27,0.24,0.24,0.060000000000000026,0.0,-1.1000000000000003,-1.1000000000000003
2026-06-07 06:05:00+00:00,0.22,0.28,0.25,0.25,0.060000000000000026,10.0,-4.300000000000001,-1.8000000000000007
2026-06-07 06:10:00+00:00,0.24,0.29,0.265,0.265,0.04999999999999999,10.0,-4.300000000000001,-1.6500000000000004
2026-06-07 06:15:00+00:00,0.25,0.3,0.275,0.275,0.04999999999999999,10.0,-4.300000000000001,-1.5500000000000007
2026-06-07 06:20:00+00:00,0.25,0.3,0.275,0.275,0.04999999999999999,10.0,-4.300000000000001,-1.5500000000000007
2026-06-07 06:25:00+00:00,0.26,0.3,0.28,0.28,0.03999999999999998,10.0,-4.300000000000001,-1.5000000000000004
2026-06-07 06:30:00+00:00,0.26,0.31,0.28500000000000003,0.28500000000000003,0.04999999999999999,10.0,-4.300000000000001,-1.4500000000000002
2026-06-07 06:35:00+00:00,0.27,0.31,0.29000000000000004,0.29000000000000004,0.03999999999999998,10.0,-4.300000000000001,-1.4000000000000004
2026-06-07 06:40:00+00:00,0.26,0.3,0.28,0.28,0.03999999999999998,10.0,-4.300000000000001,-1.5000000000000004
2026-06-07 06:45:00+00:00,0.28,0.31,0.29500000000000004,0.29500000000000004,0.02999999999999997,10.0,-4.300000000000001,-1.3500000000000005
2026-06-07 06:50:00+00:00,0.26,0.31,0.28500000000000003,0.28500000000000003,0.04999999999999999,10.0,-4.300000000000001,-1.4500000000000002
2026-06-07 06:55:00+00:00,0.26,0.3,0.28,0.28,0.03999999999999998,10.0,-4.300000000000001,-1.5000000000000004
2026-06-07 07:00:00+00:00,0.24,0.31,0.275,0.275,0.07,10.0,-4.300000000000001,-1.5500000000000007
2026-06-07 07:05:00+00:00,0.28,0.31,0.29500000000000004,0.29500000000000004,0.02999999999999997,10.0,-4.300000000000001,-1.3500000000000005
2026-06-07 07:10:00+00:00,0.3,0.31,0.305,0.305,0.010000000000000009,10.0,-4.300000000000001,-1.2500000000000009
2026-06-07 07:15:00+00:00,0.3,0.31,0.305,0.305,0.010000000000000009,10.0,-4.300000000000001,-1.2500000000000009
2026-06-07 07:20:00+00:00,0.3,0.31,0.305,0.305,0.010000000000000009,10.0,-4.300000000000001,-1.2500000000000009
2026-06-07 07:25:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 07:30:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 07:35:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 07:40:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 07:45:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 07:50:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 07:55:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 08:00:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 08:05:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 08:10:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 08:15:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 08:20:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 08:25:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 08:30:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 08:35:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 08:40:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 08:45:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 08:50:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 08:55:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 09:00:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 09:05:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 09:10:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 09:15:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 09:20:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 09:25:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 09:30:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 09:35:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 09:40:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 09:45:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
2026-06-07 09:50:00+00:00,0.3,0.32,0.31,0.31,0.020000000000000018,10.0,-4.300000000000001,-1.2000000000000006
