timestamp,best_bid,best_ask,mid,spread,inventory,cash,mtm_equity
2026-06-08 04:50:00+00:00,0.21,0.27,0.24,0.060000000000000026,0.0,0.0,0.0
2026-06-08 04:55:00+00:00,0.23,0.29,0.26,0.05999999999999997,-10.0,2.1,-0.5
2026-06-08 05:00:00+00:00,0.23,0.27,0.25,0.04000000000000001,-10.0,2.1,-0.3999999999999999
2026-06-08 05:05:00+00:00,0.23,0.27,0.25,0.04000000000000001,-10.0,2.1,-0.3999999999999999
2026-06-08 05:10:00+00:00,0.23,0.27,0.25,0.04000000000000001,-10.0,2.1,-0.3999999999999999
2026-06-08 05:15:00+00:00,0.23,0.27,0.25,0.04000000000000001,-10.0,2.1,-0.3999999999999999
2026-06-08 05:20:00+00:00,0.23,0.27,0.25,0.04000000000000001,-10.0,2.1,-0.3999999999999999
2026-06-08 05:25:00+00:00,0.24,0.27,0.255,0.030000000000000027,-10.0,2.1,-0.44999999999999973
2026-06-08 05:30:00+00:00,0.24,0.27,0.255,0.030000000000000027,-10.0,2.1,-0.44999999999999973
2026-06-08 05:35:00+00:00,0.24,0.27,0.255,0.030000000000000027,-10.0,2.1,-0.44999999999999973
2026-06-08 05:40:00+00:00,0.26,0.27,0.265,0.010000000000000009,-10.0,2.1,-0.5500000000000003
2026-06-08 05:45:00+00:00,0.26,0.27,0.265,0.010000000000000009,-10.0,2.1,-0.5500000000000003
2026-06-08 05:50:00+00:00,0.26,0.27,0.265,0.010000000000000009,-10.0,2.1,-0.5500000000000003
2026-06-08 05:55:00+00:00,0.29,0.34,0.315,0.050000000000000044,-10.0,2.1,-1.0499999999999998
2026-06-08 06:00:00+00:00,0.32,0.37,0.345,0.04999999999999999,-20.0,5.1,-1.7999999999999998
2026-06-08 06:05:00+00:00,0.34,0.36,0.35,0.019999999999999962,-20.0,5.1,-1.9000000000000004
2026-06-08 06:10:00+00:00,0.33,0.37,0.35,0.03999999999999998,-20.0,5.1,-1.9000000000000004
2026-06-08 06:15:00+00:00,0.33,0.35,0.33999999999999997,0.019999999999999962,-20.0,5.1,-1.6999999999999993
2026-06-08 06:20:00+00:00,0.33,0.35,0.33999999999999997,0.019999999999999962,-20.0,5.1,-1.6999999999999993
2026-06-08 06:25:00+00:00,0.33,0.35,0.33999999999999997,0.019999999999999962,-20.0,5.1,-1.6999999999999993
2026-06-08 06:30:00+00:00,0.33,0.34,0.335,0.010000000000000009,-20.0,5.1,-1.6000000000000005
2026-06-08 06:35:00+00:00,0.33,0.37,0.35,0.03999999999999998,-20.0,5.1,-1.9000000000000004
2026-06-08 06:40:00+00:00,0.33,0.37,0.35,0.03999999999999998,-20.0,5.1,-1.9000000000000004
2026-06-08 06:45:00+00:00,0.33,0.38,0.355,0.04999999999999999,-20.0,5.1,-2.0
2026-06-08 06:50:00+00:00,0.33,0.38,0.355,0.04999999999999999,-20.0,5.1,-2.0
2026-06-08 06:55:00+00:00,0.33,0.38,0.355,0.04999999999999999,-20.0,5.1,-2.0
2026-06-08 07:00:00+00:00,0.34,0.38,0.36,0.03999999999999998,-20.0,5.1,-2.0999999999999996
2026-06-08 07:05:00+00:00,0.3,0.35,0.32499999999999996,0.04999999999999999,-10.0,1.5999999999999996,-1.65
