,strategy_0,strategy_1,strategy_2,strategy_3,strategy_4,strategy_5,strategy_6,strategy_7,strategy_8,strategy_9,strategy_10,strategy_11,strategy_12,strategy_13,strategy_14,strategy_15,strategy_16,strategy_17,strategy_18,strategy_19,strategy_20,strategy_21,strategy_22,strategy_23,strategy_24,strategy_25,strategy_26,strategy_27,strategy_28,strategy_29
2022-01-01,0.01499403416770343,0.0006761296023510797,-0.0004462589309059909,-0.006868694404752866,-0.005694355812450283,0.002344771456975739,-0.01380415487717239,0.004856922372761005,0.011061674917729787,0.013556476582585252,-0.0004462589309059909,-0.006868694404752866,-0.005694355812450283,0.002344771456975739,0.0031154343648154403,0.004856922372761005,0.011061674917729787,0.007344709265294135,-0.006868694404752866,0.011225233429537546,0.010135739653175865,0.0031154343648154403,0.004856922372761005,0.011061674917729787,0.010050894837234963,0.011225233429537546,0.010135739653175865,0.0031154343648154403,0.004856922372761005,0.011061674917729787
2022-01-02,-0.017738593587725143,-0.04619978837211808,-0.036625296870185564,-0.04619978837211808,-0.04619978837211808,-0.04846313017280665,-0.04619978837211808,-0.04619978837211808,-0.06928268373236025,-0.017738593587725143,-0.04846313017280665,-0.06928268373236025,-0.06928268373236025,-0.07154602553304884,-0.0591861714980097,-0.05907794796843259,-0.05907794796843259,-0.013594635204814392,-0.06960222641732246,-0.01884978430929768,-0.04099799082393329,-0.03557383175303856,-0.045670343987389124,-0.045670343987389124,-0.01147649303579901,-0.019770848255680484,-0.025195007326575206,-0.03557383175303856,-0.045670343987389124,-0.045670343987389124
2022-01-03,-0.012554677549906103,3.070570643887941e-05,-0.015185921284611256,-0.02214279326494348,-0.022645896157460016,-0.022645896157460016,-0.022645896157460016,-0.022645896157460016,-0.015668606713322143,-0.012554677549906103,-0.022645896157460016,-0.015668606713322143,-0.015668606713322143,-0.015668606713322143,-0.015668606713322143,-0.015668606713322143,-0.035328552900483125,-0.012554677549906103,-0.027393443125297394,-0.014136670734437319,-0.032539402610990774,-0.032539402610990774,-0.032539402610990774,-0.032539402610990774,-0.012554677549906103,-0.033796616921598306,-0.033796616921598306,-0.032539402610990774,-0.032539402610990774,-0.032539402610990774
2022-01-04,-0.00032416719515499567,-0.02135670844664664,-0.008327073338853316,0.0036244140648353552,0.0036244140648353552,0.0036244140648353552,0.0036244140648353552,0.0036244140648353552,0.0036244140648353552,-0.00032416719515499567,0.0036244140648353552,0.0036244140648353552,0.0036244140648353552,0.0036244140648353552,0.0036244140648353552,-0.010329541583609131,-0.009409321795058791,-0.00032416719515499567,0.0036244140648353552,0.0036244140648353552,-0.009409321795058791,-0.009409321795058791,-0.009409321795058791,-0.009409321795058791,-0.00032416719515499567,-0.009409321795058791,-0.009409321795058791,-0.009409321795058791,-0.009409321795058791,-0.02080071068598514
2022-01-05,-0.059122091924208066,0.034826388502840186,0.00012336473988296126,0.00012336473988296126,0.00012336473988296126,0.00012336473988296126,0.00012336473988296126,0.00012336473988296126,0.025916276319884315,-0.059122091924208066,0.00012336473988296126,0.00012336473988296126,0.025916276319884315,0.025916276319884315,0.025916276319884315,0.025916276319884315,0.025916276319884315,-0.059122091924208066,0.025916276319884315,0.025916276319884315,0.025916276319884315,0.025916276319884315,0.025916276319884315,0.025916276319884315,-0.059122091924208066,0.025916276319884315,0.025916276319884315,0.025916276319884315,0.025916276319884315,0.019791708281919236
2022-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-07,-0.04132120824799817,-0.005437128567735549,-0.005437128567735549,-0.005437128567735549,-0.005437128567735549,0.02961271028608611,0.02961271028608611,0.02961271028608611,0.02961271028608611,-0.04132120824799817,-0.005437128567735549,0.02961271028608611,0.02961271028608611,0.02961271028608611,0.02961271028608611,0.02961271028608611,0.02961271028608611,-0.04132120824799817,0.02961271028608611,0.02961271028608611,0.02961271028608611,0.02961271028608611,0.02961271028608611,0.02961271028608611,-0.04132120824799817,0.02961271028608611,0.02961271028608611,0.02961271028608611,0.02961271028608611,0.02961271028608611
2022-01-08,-0.020374958980712024,-0.03551652122872018,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.020374958980712024,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.020374958980712024,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.020374958980712024,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715,-0.0035882254637477715
2022-01-09,0.0307206590595506,-0.002108119044289484,-0.0072173935576403045,-0.015540361144736593,-0.021982180792760847,-0.021982180792760847,-0.028715279647409088,-0.028715279647409088,-0.028715279647409088,0.0307206590595506,-0.021982180792760847,-0.021982180792760847,-0.028715279647409088,-0.028715279647409088,-0.028715279647409088,-0.028715279647409088,-0.03585838314469446,0.0307206590595506,-0.028715279647409088,-0.028715279647409088,-0.03585838314469446,-0.03585838314469446,-0.03585838314469446,-0.03585838314469446,0.0307206590595506,-0.03585838314469446,-0.03585838314469446,-0.03585838314469446,-0.03585838314469446,-0.03585838314469446
2022-01-10,-0.015788438645376157,-0.011544459728439985,-0.011544459728439985,-0.01154210647629066,-0.025024079382314414,-0.025024079382314414,-0.025024079382314414,0.00044021514702375167,0.00044021514702375167,-0.015788438645376157,-0.025024079382314414,-0.025024079382314414,0.00044021514702375167,0.00044021514702375167,0.011552826191370297,0.006955328853625674,0.006955328853625674,-0.015788438645376157,0.00044021514702375167,0.011552826191370297,0.006955328853625674,0.006955328853625674,0.006955328853625674,0.006955328853625674,-0.015788438645376157,0.006955328853625674,0.006955328853625674,0.006955328853625674,0.006955328853625674,0.006955328853625674
