timestamp,best_bid,best_ask,mid,mark_price,tick_size,spread,inventory,cash,mtm_equity
2026-06-07 04:55:00+00:00,0.13,0.26,0.195,0.195,0.01,0.13,0.0,0.0,0.0
2026-06-07 05:00:00+00:00,0.13,0.25,0.19,0.19,0.01,0.12,0.0,0.0,0.0
2026-06-07 05:05:00+00:00,0.13,0.24,0.185,0.185,0.01,0.10999999999999999,0.0,0.0,0.0
2026-06-07 05:10:00+00:00,0.15,0.25,0.2,0.2,0.01,0.1,0.0,0.0,0.0
2026-06-07 05:15:00+00:00,0.12,0.17,0.14500000000000002,0.14500000000000002,0.01,0.05000000000000002,-7.857141,1.0999997400000001,-0.03928570500000017
2026-06-07 05:20:00+00:00,0.12,0.17,0.14500000000000002,0.14500000000000002,0.01,0.05000000000000002,-7.857141,1.0999997400000001,-0.03928570500000017
2026-06-07 05:25:00+00:00,0.14,0.17,0.15500000000000003,0.15500000000000003,0.01,0.03,-13.857141,2.11999974,-0.027857115000000654
2026-06-07 05:30:00+00:00,0.15,0.17,0.16,0.16,0.01,0.020000000000000018,-13.857141,2.11999974,-0.09714282000000019
2026-06-07 05:35:00+00:00,0.16,0.17,0.165,0.165,0.01,0.010000000000000009,-13.857141,2.11999974,-0.16642852500000016
2026-06-07 05:40:00+00:00,0.16,0.17,0.165,0.165,0.01,0.010000000000000009,-13.857141,2.11999974,-0.16642852500000016
2026-06-07 05:45:00+00:00,0.15,0.17,0.16,0.16,0.01,0.020000000000000018,-13.857141,2.11999974,-0.09714282000000019
2026-06-07 05:50:00+00:00,0.2,0.26,0.23,0.23,0.01,0.06,-13.857141,2.11999974,-1.0671426900000003
2026-06-07 05:55:00+00:00,0.2,0.28,0.24000000000000002,0.24000000000000002,0.01,0.08000000000000002,-13.857141,2.11999974,-1.2057141000000002
2026-06-07 06:00:00+00:00,0.21,0.27,0.24,0.24,0.01,0.060000000000000026,-13.857141,2.11999974,-1.2057141000000002
2026-06-07 06:05:00+00:00,0.22,0.28,0.25,0.25,0.01,0.060000000000000026,-13.857141,2.11999974,-1.3442855100000002
2026-06-07 06:10:00+00:00,0.24,0.29,0.265,0.265,0.01,0.04999999999999999,-13.857141,2.11999974,-1.5521426250000006
2026-06-07 06:15:00+00:00,0.25,0.3,0.275,0.275,0.01,0.04999999999999999,-13.857141,2.11999974,-1.6907140350000005
2026-06-07 06:20:00+00:00,0.25,0.3,0.275,0.275,0.01,0.04999999999999999,-13.857141,2.11999974,-1.6907140350000005
2026-06-07 06:25:00+00:00,0.26,0.3,0.28,0.28,0.01,0.03999999999999998,-13.857141,2.11999974,-1.7599997400000005
2026-06-07 06:30:00+00:00,0.26,0.31,0.28500000000000003,0.28500000000000003,0.01,0.04999999999999999,-13.857141,2.11999974,-1.8292854450000005
2026-06-07 06:35:00+00:00,0.27,0.31,0.29000000000000004,0.29000000000000004,0.01,0.03999999999999998,-13.857141,2.11999974,-1.8985711500000004
2026-06-07 06:40:00+00:00,0.26,0.3,0.28,0.28,0.01,0.03999999999999998,-13.857141,2.11999974,-1.7599997400000005
2026-06-07 06:45:00+00:00,0.28,0.31,0.29500000000000004,0.29500000000000004,0.01,0.02999999999999997,-13.857141,2.11999974,-1.9678568550000008
2026-06-07 06:50:00+00:00,0.26,0.31,0.28500000000000003,0.28500000000000003,0.01,0.04999999999999999,-13.857141,2.11999974,-1.8292854450000005
2026-06-07 06:55:00+00:00,0.26,0.3,0.28,0.28,0.01,0.03999999999999998,-23.857141,5.21999974,-1.4599997399999998
2026-06-07 07:00:00+00:00,0.24,0.31,0.275,0.275,0.01,0.07,-13.857140999999999,2.6199997400000004,-1.1907140349999996
2026-06-07 07:05:00+00:00,0.26,0.31,0.28500000000000003,0.28500000000000003,0.01,0.04999999999999999,-13.857140999999999,2.6199997400000004,-1.3292854449999996
2026-06-07 07:10:00+00:00,0.3,0.31,0.305,0.305,0.01,0.010000000000000009,-3.8571409999999986,-0.38000025999999965,-1.5564282649999992
2026-06-07 07:15:00+00:00,0.3,0.31,0.305,0.305,0.01,0.010000000000000009,1.1428590000000014,-1.8800002599999996,-1.5314282649999993
2026-06-07 07:20:00+00:00,0.3,0.31,0.305,0.305,0.01,0.010000000000000009,1.1428590000000014,-1.8800002599999996,-1.5314282649999993
2026-06-07 07:25:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 07:30:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 07:35:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 07:40:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 07:45:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 07:50:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 07:55:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 08:00:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 08:05:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 08:10:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 08:15:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 08:20:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 08:25:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 08:30:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 08:35:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 08:40:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 08:45:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 08:50:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 08:55:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 09:00:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 09:05:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 09:10:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,1.1428590000000014,-1.8800002599999996,-1.525713969999999
2026-06-07 09:15:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,-8.232140999999999,1.1199997400000004,-1.431963969999999
2026-06-07 09:20:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,-8.232140999999999,1.1199997400000004,-1.431963969999999
2026-06-07 09:25:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,-8.232140999999999,1.1199997400000004,-1.431963969999999
2026-06-07 09:30:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,-8.232140999999999,1.1199997400000004,-1.431963969999999
2026-06-07 09:35:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,-8.232140999999999,1.1199997400000004,-1.431963969999999
2026-06-07 09:40:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,-8.232140999999999,1.1199997400000004,-1.431963969999999
2026-06-07 09:45:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,-8.232140999999999,1.1199997400000004,-1.431963969999999
2026-06-07 09:50:00+00:00,0.3,0.32,0.31,0.31,0.01,0.020000000000000018,-8.232140999999999,1.1199997400000004,-1.431963969999999
