timestamp,best_bid,best_ask,mid,mark_price,tick_size,spread,inventory,cash,mtm_equity
2026-06-26 02:35:00+00:00,0.65,0.66,0.655,0.655,0.01,0.010000000000000009,10.0,-6.6000000000000005,-0.04999999999999982
2026-06-26 02:40:00+00:00,0.65,0.66,0.655,0.655,0.01,0.010000000000000009,10.0,-6.6000000000000005,-0.04999999999999982
2026-06-26 02:45:00+00:00,0.65,0.66,0.655,0.655,0.01,0.010000000000000009,10.0,-6.6000000000000005,-0.04999999999999982
2026-06-26 02:50:00+00:00,0.65,0.66,0.655,0.655,0.01,0.010000000000000009,10.0,-6.6000000000000005,-0.04999999999999982
2026-06-26 02:55:00+00:00,0.65,0.66,0.655,0.655,0.01,0.010000000000000009,10.0,-6.6000000000000005,-0.04999999999999982
